Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
2020-01-02,189.0,191.139999,188.720001,191.119995,189.381256,8733000,0.0
2020-01-03,188.41000400000001,190.96000700000002,187.919998,189.600006,187.875092,4899700,0.0
2020-01-06,188.0,189.21000700000002,187.16000400000001,189.190002,187.468826,10109500,0.07150000000000001
2020-01-07,189.58999599999999,190.100006,188.600006,188.690002,186.973373,4392300,-0.4404
2020-01-08,189.490005,192.5,188.800003,191.919998,190.173981,5712000,-0.0928
2020-01-09,193.0,193.919998,192.520004,193.25,191.491882,6748000,0.0
2020-01-10,193.5,194.570007,193.110001,193.770004,192.007156,6586400,0.0
2020-01-13,194.440002,195.600006,194.279999,195.330002,193.552979,11290500,0.0
2020-01-14,196.740005,196.949997,195.139999,196.050003,194.266418,6236500,-0.16735
2020-01-15,197.0,200.149994,196.320007,199.800003,197.9823,10831100,-0.2263
2020-01-16,201.0,201.5,199.779999,200.949997,199.121841,9983700,-0.12726666666666667
2020-01-17,201.759995,204.75,199.979996,204.699997,202.837723,12518900,-0.09109999999999999
2020-01-21,204.130005,208.389999,203.800003,207.28999299999998,205.40416000000002,14861700,-0.25
2020-01-22,207.509995,210.13000499999998,207.28999299999998,207.899994,206.00860600000001,8065000,-0.4767
2020-01-23,207.899994,208.399994,205.300003,206.520004,204.64119,8520800,-0.06888571428571429
2020-01-24,207.419998,207.990005,204.21000700000002,205.0,203.134995,7812900,-0.04910000000000003
2020-01-27,200.0,203.330002,199.100006,201.690002,199.855103,7198900,0.0
2020-01-28,202.389999,203.83999599999999,201.779999,202.850006,201.004547,7215700,-0.141575
2020-01-29,204.300003,205.919998,202.509995,204.860001,202.99624599999999,7041700,0.07555
2020-01-30,204.0,208.5,203.320007,208.21000700000002,206.315796,8571900,-0.28528
2020-01-31,201.490005,203.979996,198.259995,198.970001,197.159836,16699600,-0.4176666666666667
2020-02-03,199.940002,202.259995,199.850006,200.809998,198.983109,10885900,-0.35525
2020-02-04,203.5,204.919998,202.229996,203.559998,201.708084,10205900,0.0
2020-02-05,205.5,205.600006,199.949997,202.809998,200.96490500000002,8672400,-0.14049999999999999
2020-02-06,203.050003,204.630005,202.479996,203.03999299999998,201.19281,7001200,-0.24935
2020-02-07,201.979996,203.830002,201.08999599999999,202.740005,200.895538,5691100,0.0
2020-02-10,201.970001,206.130005,201.860001,205.990005,204.115997,6239500,0.0
2020-02-11,207.5,207.669998,203.639999,203.940002,202.084641,10231900,-0.09866666666666667
2020-02-12,205.0,208.149994,205.0,207.440002,205.552795,7355800,0.18383333333333332
2020-02-13,206.619995,208.470001,206.050003,207.399994,205.810791,9495300,-0.128
2020-02-14,208.28999299999998,210.77999900000003,208.009995,210.289993,208.678635,6548800,-0.3454
2020-02-18,210.0,211.5,209.360001,211.19999700000002,209.581665,7651500,0.0
2020-02-19,212.520004,214.169998,211.72000099999997,213.309998,211.67550699999998,5927500,-0.3818
2020-02-20,212.13000499999998,213.690002,208.279999,211.44999700000002,209.829773,8531900,0.3902
2020-02-21,209.899994,210.22000099999997,207.419998,208.809998,207.209991,9231500,0.0
2020-02-24,197.889999,203.770004,194.009995,198.78999299999998,197.26676899999998,13316800,0.128
2020-02-25,198.78999299999998,199.889999,187.720001,188.399994,186.95639,18539000,-0.2787
2020-02-26,190.0,193.509995,187.029999,187.21000700000002,185.775528,14214700,-0.20215000000000002
2020-02-27,182.119995,186.33999599999999,180.0,180.009995,178.630661,17536600,0.2023
2020-02-28,173.78999299999998,182.330002,172.979996,181.759995,180.367249,22659000,0.01032
2020-03-02,186.320007,192.440002,183.100006,192.330002,190.856277,17434500,0.0
2020-03-03,193.199997,194.03999299999998,184.5,185.729996,184.306839,15226400,0.0
2020-03-04,190.360001,194.490005,186.169998,194.28999299999998,192.80123899999998,10789100,0.0
2020-03-05,191.240005,191.919998,185.639999,186.96000700000002,185.52742,10106900,-0.19076666666666667
2020-03-06,183.53999299999998,185.990005,179.979996,184.360001,182.947357,15183200,-0.09393333333333335
2020-03-09,171.21000700000002,179.570007,168.309998,171.130005,169.818726,20486400,0.0
2020-03-10,179.470001,182.610001,171.880005,182.600006,181.200821,16119400,0.09866666666666667
2020-03-11,177.649994,178.729996,170.199997,172.949997,171.624786,14598200,-0.38585
2020-03-12,158.5,172.0,156.990005,160.080002,158.853363,27467700,-0.5106
2020-03-13,168.720001,176.320007,162.21000700000002,175.830002,174.482727,19948900,-0.25455
2020-03-16,151.139999,165.309998,147.979996,152.009995,150.845215,23692000,0.0
2020-03-17,155.75,163.699997,149.25,157.889999,156.680161,22298000,-0.48355
2020-03-18,148.46000700000002,150.679993,139.800003,148.479996,147.342255,22787500,0.5106
2020-03-19,146.919998,157.25,141.470001,152.25,151.08338899999998,19362800,0.0
2020-03-20,154.820007,158.259995,145.669998,146.830002,145.704926,18692100,-0.4767
2020-03-23,141.330002,143.350006,133.929993,135.740005,134.69988999999998,30344100,0.0
2020-03-24,144.83999599999999,155.25,143.580002,154.529999,153.345932,24488300,0.0
2020-03-25,159.320007,168.179993,153.580002,161.779999,160.540375,20619600,-0.6786
