           Date         Open         High          Low        Close    Adj Close   Volume  Sentiment
27   2020-02-11  1511.810059  1529.630005  1505.637939  1508.790039  1508.790039  1344600   0.000000
28   2020-02-12  1514.479980  1520.694946  1508.109985  1518.270020  1518.270020  1167600   0.091067
29   2020-02-13  1512.689941  1527.180054  1504.599976  1514.660034  1514.660034   929500   0.000000
30   2020-02-14  1515.599976  1520.739990  1507.339966  1520.739990  1520.739990  1197800   0.218540
31   2020-02-18  1515.000000  1531.630005  1512.589966  1519.670044  1519.670044  1120700   0.000000
32   2020-02-19  1525.069946  1532.105957  1521.400024  1526.689941  1526.689941   949300   0.208300
33   2020-02-20  1522.000000  1529.640015  1506.819946  1518.150024  1518.150024  1096600  -0.526700
34   2020-02-21  1508.030029  1512.214966  1480.439941  1485.109985  1485.109985  1731700   0.153100
35   2020-02-24  1426.109985  1436.969971  1411.390015  1421.589966  1421.589966  2867100   0.000000
36   2020-02-25  1433.000000  1438.140015  1382.400024  1388.449951  1388.449951  2478300   0.000000
37   2020-02-26  1396.140015  1415.699951  1379.000000  1393.180054  1393.180054  2202400   0.000000
38   2020-02-27  1362.060059  1371.703979  1317.170044  1318.089966  1318.089966  2978300  -0.389733
39   2020-02-28  1277.500000  1341.140015  1271.000000  1339.329956  1339.329956  3789100   0.000000
40   2020-03-02  1351.609985  1390.869995  1326.814941  1389.109985  1389.109985  2431500   0.000000
41   2020-03-03  1399.420044  1410.150024  1332.000000  1341.390015  1341.390015  2402300   0.000000
42   2020-03-04  1359.229980  1388.089966  1343.109985  1386.520020  1386.520020  1913300   0.000000
43   2020-03-05  1350.199951  1358.910034  1305.099976  1319.040039  1319.040039  2561300  -0.184900
44   2020-03-06  1277.060059  1306.219971  1261.050049  1298.410034  1298.410034  2660600   0.000000
45   2020-03-09  1205.300049  1254.760010  1200.000000  1215.560059  1215.560059  3365400   0.611400
46   2020-03-10  1260.000000  1281.150024  1218.770020  1280.390015  1280.390015  2611400  -0.636900
47   2020-03-11  1249.699951  1260.959961  1196.069946  1215.410034  1215.410034  2608500   0.000000
48   2020-03-12  1126.000000  1193.869995  1113.300049  1114.910034  1114.910034  4226700   0.000000
49   2020-03-13  1179.000000  1219.760010  1117.142944  1219.729980  1219.729980  3700100   0.401900
50   2020-03-16  1096.000000  1152.266968  1074.439941  1084.329956  1084.329956  4252400   0.200950
51   2020-03-17  1093.109985  1130.859985  1056.010010  1119.800049  1119.800049  3861500   0.000000
52   2020-03-18  1056.510010  1106.500000  1037.280029  1096.800049  1096.800049  4233400   0.534025
53   2020-03-19  1093.050049  1157.969971  1060.108032  1115.290039  1115.290039  3651100   0.607200
54   2020-03-20  1135.719971  1143.989990  1065.489990  1072.319946  1072.319946  3601800  -0.164850
55   2020-03-23  1061.319946  1071.319946  1013.536011  1056.619995  1056.619995  4044100  -0.120400
56   2020-03-24  1103.770020  1135.000000  1090.619995  1134.459961  1134.459961  3344500  -0.250000
57   2020-03-25  1126.469971  1148.900024  1086.010010  1102.489990  1102.489990  4081500   0.271600
58   2020-03-26  1111.800049  1169.969971  1093.530029  1161.750000  1161.750000  3571700   0.246133
59   2020-03-27  1125.670044  1150.670044  1105.910034  1110.709961  1110.709961  3208500   0.000000
60   2020-03-30  1125.040039  1151.630005  1096.479980  1146.819946  1146.819946  2574100   0.440400
61   2020-03-31  1147.300049  1175.310059  1138.140015  1162.810059  1162.810059  2486400   0.000000
62   2020-04-01  1122.000000  1129.689941  1097.449951  1105.619995  1105.619995  2344200  -0.238350
63   2020-04-02  1098.260010  1126.859985  1096.400024  1120.839966  1120.839966  1964900   0.181600
64   2020-04-03  1119.015015  1123.540039  1079.810059  1097.880005  1097.880005  2313400   0.340000
65   2020-04-06  1138.000000  1194.660034  1130.939941  1186.920044  1186.920044  2664700  -0.367550
66   2020-04-07  1221.000000  1225.000000  1182.229980  1186.510010  1186.510010  2387300   0.138933
67   2020-04-08  1206.500000  1219.069946  1188.160034  1210.280029  1210.280029  1975100   0.329100
68   2020-04-09  1224.079956  1225.569946  1196.734985  1211.449951  1211.449951  2175400   0.000000
69   2020-04-13  1209.180054  1220.510010  1187.598022  1217.560059  1217.560059  1739800   0.000000
70   2020-04-14  1245.089966  1282.069946  1236.930054  1269.229980  1269.229980  2470400   0.000000
71   2020-04-15  1245.609985  1280.459961  1240.400024  1262.469971  1262.469971  1671700   0.000000
72   2020-04-16  1274.099976  1279.000000  1242.619995  1263.469971  1263.469971  2518100   0.210150
73   2020-04-17  1284.849976  1294.430054  1271.229980  1283.250000  1283.250000  1949000   0.000000
74   2020-04-20  1271.000000  1281.599976  1261.369995  1266.609985  1266.609985  1695500   0.000000
75   2020-04-21  1247.000000  1254.270020  1209.709961  1216.339966  1216.339966  2153000  -0.077200
76   2020-04-22  1245.540039  1285.613037  1242.000000  1263.209961  1263.209961  2092400   0.000000
77   2020-04-23  1271.550049  1293.310059  1265.670044  1276.310059  1276.310059  1566200  -0.044475
78   2020-04-24  1261.170044  1280.400024  1249.449951  1279.310059  1279.310059  1639600   0.000000
79   2020-04-27  1296.000000  1296.150024  1269.000000  1275.880005  1275.880005  1600600  -0.440400
80   2020-04-28  1287.930054  1288.050049  1232.199951  1233.670044  1233.670044  2951300  -0.175300
81   2020-04-29  1341.459961  1359.989990  1325.339966  1341.479980  1341.479980  3793600   0.215500
82   2020-04-30  1324.880005  1352.819946  1322.489990  1348.660034  1348.660034  2668900  -0.318200
83   2020-05-01  1328.500000  1352.069946  1311.000000  1320.609985  1320.609985  2072500  -0.213067
84   2020-05-04  1308.229980  1327.660034  1299.000000  1326.800049  1326.800049  1504000   0.177900
85   2020-05-05  1337.920044  1373.939941  1337.459961  1351.109985  1351.109985  1651500   0.000000
86   2020-05-06  1361.689941  1371.119995  1347.290039  1347.300049  1347.300049  1215400   0.476700
87   2020-05-07  1365.939941  1377.599976  1355.270020  1372.560059  1372.560059  1397600   0.114050
88   2020-05-08  1383.130005  1398.760010  1375.479980  1388.369995  1388.369995  1386900   0.000000
89   2020-05-11  1378.280029  1416.530029  1377.151978  1403.260010  1403.260010  1412100  -0.421500
90   2020-05-12  1407.119995  1415.000000  1374.770020  1375.739990  1375.739990  1390600   0.000000
91   2020-05-13  1377.050049  1385.482056  1328.400024  1349.329956  1349.329956  1812600   0.000000
92   2020-05-14  1335.020020  1357.420044  1323.910034  1356.130005  1356.130005  1603100   0.000000
93   2020-05-15  1350.000000  1374.479980  1339.000000  1373.189941  1373.189941  1707700   0.000000
94   2020-05-18  1361.750000  1392.324951  1354.250000  1383.939941  1383.939941  1822400   0.332700
95   2020-05-19  1386.996948  1392.000000  1373.484985  1373.484985  1373.484985  1280600   0.000000
96   2020-05-20  1389.579956  1410.420044  1387.250000  1406.719971  1406.719971  1655400   0.312450
97   2020-05-21  1408.000000  1415.489990  1393.449951  1402.800049  1402.800049  1385000   0.000000
98   2020-05-22  1396.709961  1412.760010  1391.829956  1410.420044  1410.420044  1309400   0.318450
99   2020-05-26  1437.270020  1441.000000  1412.130005  1417.020020  1417.020020  2060600   0.000000
100  2020-05-27  1417.250000  1421.739990  1391.290039  1417.839966  1417.839966  1685800   0.000000
101  2020-05-28  1396.859985  1440.839966  1396.000000  1416.729980  1416.729980  1692200   0.042667
102  2020-05-29  1416.939941  1432.569946  1413.349976  1428.920044  1428.920044  1820900   0.000000
103  2020-06-01  1418.390015  1437.959961  1418.000000  1431.819946  1431.819946  1217100   0.000000
104  2020-06-02  1430.550049  1439.609985  1418.829956  1439.219971  1439.219971  1278100  -0.446200
