Date,Adj Close,Close,High,Low,Open,Volume,Sentiment
2021-01-04,144.8170166015625,146.52999877929688,146.88999938964844,144.27999877929688,144.3000030517578,10727400,0.0
2021-01-05,144.04615783691406,145.75,147.07000732421875,144.49000549316406,146.60000610351562,8832700,0.0
2021-01-06,144.9455108642578,146.66000366210938,148.10000610351562,145.00999450683594,145.08999633789062,7306300,0.0
2021-01-07,144.9356231689453,146.64999389648438,147.75999450683594,146.0399932861328,147.6199951171875,6846000,0.0
2021-01-08,144.91586303710938,146.6300048828125,147.0,145.80999755859375,146.8800048828125,8159400,0.0
2021-01-11,145.56813049316406,147.2899932861328,147.99000549316406,146.0,146.0,8754800,0.0
2021-01-12,147.22850036621094,148.97000122070312,149.92999267578125,148.32000732421875,149.0,7791100,0.0
2021-01-13,145.7262725830078,147.4499969482422,149.07000732421875,147.42999267578125,148.75,5356500,0.0
2021-01-14,145.25189208984375,146.97000122070312,148.0,146.0399932861328,147.82000732421875,7672400,0.0
2021-01-15,142.94911193847656,144.63999938964844,145.89999389648438,143.6699981689453,145.13999938964844,11973500,0.0
2021-01-19,141.71372985839844,143.38999938964844,145.07000732421875,142.6699981689453,144.63999938964844,8041200,0.0
2021-01-20,143.80894470214844,145.50999450683594,145.66000366210938,142.88999938964844,143.58999633789062,7925200,0.0
2021-01-21,143.15667724609375,144.85000610351562,145.72999572753906,144.2100067138672,145.36000061035156,4775300,0.0
2021-01-22,144.61936950683594,146.3300018310547,147.33999633789062,145.1199951171875,145.60000610351562,6406500,0.0
2021-01-25,144.49087524414062,146.1999969482422,146.25,144.27000427246094,145.36000061035156,6343700,0.0
2021-01-26,145.78555297851562,147.50999450683594,147.80999755859375,145.47000122070312,145.6300048828125,5010500,0.0
2021-01-27,142.15847778320312,143.83999633789062,147.86000061035156,143.5500030517578,146.9600067138672,9970100,0.0
2021-01-28,142.0695343017578,143.75,146.25999450683594,143.6300048828125,144.4600067138672,7433900,0.0
2021-01-29,138.84764099121094,140.49000549316406,143.75,140.35000610351562,143.17999267578125,10836400,0.0
2021-02-01,137.64190673828125,139.27000427246094,141.49000549316406,139.19000244140625,140.91000366210938,8648400,0.0
2021-02-02,139.12437438964844,140.77000427246094,142.14999389648438,139.44000244140625,139.75999450683594,9000800,0.0
2021-02-03,139.54933166503906,141.1999969482422,142.0500030517578,140.6300048828125,140.66000366210938,4988900,0.0
2021-02-04,140.86378479003906,142.52999877929688,143.17999267578125,141.25999450683594,141.7899932861328,5782100,0.0
2021-02-05,142.67239379882812,144.36000061035156,144.85000610351562,142.52999877929688,143.4600067138672,6817200,0.0
2021-02-08,143.33456420898438,145.02999877929688,145.5800018310547,144.4600067138672,144.80999755859375,5275100,0.0
2021-02-09,144.1251983642578,145.8300018310547,146.32000732421875,144.5800018310547,144.5800018310547,5302300,0.0
2021-02-10,142.44508361816406,144.1300048828125,145.89999389648438,143.5399932861328,145.8300018310547,6192300,0.0
2021-02-11,142.3363800048828,144.02000427246094,144.9499969482422,143.7100067138672,144.13999938964844,4263800,0.0
2021-02-12,142.78111267089844,144.47000122070312,144.61000061035156,143.6699981689453,144.16000366210938,4474500,0.0
2021-02-16,143.9571990966797,145.66000366210938,146.38999938964844,144.92999267578125,145.94000244140625,9297000,0.0
