Headline;Month;Day
Trade, Buybacks and Brexit: DealBook’s Closing Bell;9;18
Hard Lessons (Thanks, Amazon) Breathe New Life Into Retail Stores;9;3
Walmart Is Finding Success in the Grocery Aisle;8;16
July Retail Sales Released, and Walmart Reports Earnings;8;12
Playing Catch-Up With Walmart, Amazon Offers Digital Grocery Pickup at Whole Foods;8;8
Amazon’s Ripple Effect on Grocery Industry: Rivals Stock Up on Start-Ups;8;21
They’re Falsely Accused of Shoplifting, but Retailers Demand Penalties;8;17
Waymo Teams Up With Walmart, Avis and Others for Short Driverless Rides;7;25
Walmart ‘Surprised’ Old Store Is a Migrant Shelter. Records Hinted at the Possibility.;6;20
Walmart Says It Will Pay for Its Workers to Earn College Degrees;5;30
Walmart Goes Upscale, Offering Lord & Taylor Brands;5;16
Pregnancy Discrimination Is Rampant Inside America’s Biggest Companies;6;15
Walmart’s Online Sales Grew by 33 Percent Amid Aggressive E-Commerce Push;5;17
Walmart Expands Online Grocery Delivery to 100 Cities;3;14
Walmart’s Minor Act of Redistribution;1;12
Walmart in Talks to Strengthen Ties to Health Insurer Humana;3;30
Walmart’s Bumpy Day: From Wage Increase to Store Closings;1;11
Trapped by the ‘Walmart of Heroin’;10;10
How Walmart, the Big Seller, Is Shopping for a Fight With Amazon;5;9
Walmart Pulls Cosmo From Checkout. Plus! Guess Who’s Claiming Victory.;3;28
Walmart Aims for Affluent Customers With Online Mattress Brand;2;23
A Short Market Week, Walmart Earnings and Warren Buffett’s Letter;2;19
Walmart, With Billions to Spend, Seeks Flipkart E-Commerce Site in India;4;26
Walmart Takes Control of India’s Flipkart in E-Commerce Gamble;5;9
Walmart’s Online Sales Growth Lags as It Confronts Challenges;2;20
Walmart and Dick’s Raise Minimum Age for Gun Buyers to 21;2;28
Walmart Makes a Late Entry Into the E-Book Market;1;26
Walmart to Raise Age to Buy Guns and Ammunition to 21;3;1
The Numbers Behind Walmart’s Pay Raise: DealBook Briefing;1;11
