Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
2018-01-02,91.91999799999999,91.93,90.550003,90.650002,82.09221600000001,7558900,0.0
2018-01-03,90.730003,91.089996,90.519997,90.540001,81.992599,5863600,0.0
2018-01-04,90.83000200000001,91.769997,90.610001,91.18,82.57216600000001,6322500,0.0
2018-01-05,91.269997,91.300003,90.57,91.239998,82.626526,5949700,0.0
2018-01-08,90.93,91.769997,90.93,91.720001,83.06121800000001,4860700,0.0
2018-01-09,91.470001,91.650002,91.010002,91.050003,82.454468,6630100,-0.4588
2018-01-10,90.910004,90.910004,90.010002,90.470001,81.929199,6564700,0.0
2018-01-11,90.400002,90.519997,89.91999799999999,90.150002,81.639427,5469700,0.0
2018-01-12,90.050003,90.339996,89.349998,89.610001,81.150391,8111000,0.0
2018-01-16,90.139999,90.769997,89.639999,90.220001,81.702812,9465300,-0.25
2018-01-17,90.559998,91.730003,90.43,91.199997,82.59028599999999,8345500,0.0
2018-01-18,90.239998,90.650002,89.66999799999999,90.18,82.289177,7699800,0.0
2018-01-19,90.279999,91.260002,90.239998,91.07,83.101295,9364000,0.0
2018-01-22,90.879997,91.91999799999999,90.769997,91.889999,83.849541,8658000,0.0
2018-01-23,89.82,90.209999,88.599998,89.050003,81.258041,18756300,0.0
2018-01-24,89.059998,89.160004,87.699997,88.309998,80.58279399999999,15141900,0.0
2018-01-25,88.68,89.050003,88.010002,88.339996,80.610168,11264400,0.0
2018-01-26,88.16999799999999,88.16999799999999,87.230003,87.730003,80.053551,11503100,0.0
2018-01-29,87.690002,87.739998,86.690002,86.860001,79.259659,11685800,0.0
2018-01-30,86.82,87.440002,86.629997,86.949997,79.34180500000001,9662900,0.0
2018-01-31,86.809998,87.410004,86.08000200000001,86.339996,78.785179,11798100,0.0
2018-02-01,86.150002,86.5,85.559998,85.849998,78.338043,8606300,0.0
2018-02-02,85.559998,85.610001,84.209999,84.25,76.878059,12846300,0.0
2018-02-05,83.989998,84.370003,80.099998,81.059998,73.967171,17462200,0.0
2018-02-06,80.529999,82.449997,80.120003,82.379997,75.171677,19955500,0.0
2018-02-07,82.300003,83.389999,81.82,81.839996,74.678917,11851800,0.0
2018-02-08,82.029999,82.220001,80.150002,80.220001,73.200684,14596100,0.0
2018-02-09,80.980003,81.029999,78.589996,79.91999799999999,72.926926,18838800,0.0
2018-02-12,80.610001,81.66999799999999,80.58000200000001,81.33000200000001,74.213554,10769000,0.0
2018-02-13,81.150002,81.83000200000001,80.910004,81.5,74.368675,9278700,0.4019
2018-02-14,81.059998,81.260002,80.269997,80.68,73.62043800000001,9412000,0.0
2018-02-15,80.970001,82.410004,80.5,82.410004,75.199051,8910700,-0.5267
2018-02-16,82.209999,83.25,82.129997,82.599998,75.372429,10371700,0.4404
2018-02-20,82.190002,82.220001,81.07,81.339996,74.222679,7087700,0.0
2018-02-21,81.309998,81.809998,80.190002,80.239998,73.218925,9134500,0.0
2018-02-22,80.470001,81.279999,80.16999799999999,80.839996,73.766426,10277700,0.0
2018-02-23,81.010002,81.120003,80.480003,81.050003,73.958076,10321800,0.0
2018-02-26,81.449997,81.690002,81.050003,81.629997,74.487297,9422200,0.0
2018-02-27,81.889999,82.0,80.510002,80.540001,73.492676,8919600,0.0
2018-02-28,80.68,80.790001,78.5,78.519997,71.649422,16862000,0.0
2018-03-01,78.400002,79.279999,77.900002,78.699997,71.81369000000001,13504200,0.0
2018-03-02,78.480003,79.660004,78.41999799999999,79.5,72.543686,9317700,0.0
2018-03-05,79.279999,80.389999,79.150002,80.290001,73.264557,8177000,0.0
2018-03-06,80.410004,80.41999799999999,79.370003,80.019997,73.018173,9085300,0.0
2018-03-07,79.529999,79.639999,78.900002,79.160004,72.233429,9089500,0.0
2018-03-08,79.16999799999999,79.989998,79.019997,79.970001,72.972557,7951700,0.0
2018-03-09,80.18,80.75,79.900002,80.290001,73.264557,7662200,0.0
2018-03-12,80.230003,80.620003,79.760002,79.860001,72.872185,7182000,0.0
2018-03-13,80.0,80.190002,79.360001,79.720001,72.744438,9620200,0.0
2018-03-14,79.690002,79.839996,78.860001,79.0,72.08744,8898100,0.0
2018-03-15,79.089996,79.139999,78.540001,78.66999799999999,71.786301,6996900,0.0
2018-03-16,78.93,79.389999,78.839996,78.970001,72.060051,17715400,0.0
2018-03-19,78.970001,79.57,78.269997,78.660004,71.777176,8368200,0.0
2018-03-20,78.739998,79.099998,77.959999,78.309998,71.457802,8465500,0.0
2018-03-21,78.050003,78.239998,76.879997,77.040001,70.29894300000001,9822800,0.0
2018-03-22,76.83000200000001,77.519997,76.370003,76.410004,69.724052,10481600,0.0
2018-03-23,76.790001,77.18,75.809998,75.910004,69.267815,11728300,0.0
2018-03-26,76.57,76.870003,76.019997,76.410004,69.724052,12937000,0.0
