Headline;Month;Day
Farhad’s and Mike’s Week in Tech: Why Facebook Can’t Count;12;10
Facebook Struggles to Put Out Online Fires in Israeli-Palestinian Conflict;12;7
Facebook and Other Tech Companies Seek to Curb Flow of Terrorist Content;12;6
Looking for Holiday Cheer? Look Elsewhere;12;30
Advertising’s Moral Struggle: Is Online Reach Worth the Hurt?;12;26
For Fact-Checking Website Snopes, a Bigger Role Brings More Attacks;12;25
Daily Report: WhatsApp Is Embraced by World’s Immigrants;12;22
A Book Deal for Pantsuit Nation, and Then a Backlash;12;21
Farhad’s and Mike’s Week in Tech: More Debate Over Facebook’s Role in Media;12;3
Facebook Shouldn’t Fact-Check;11;29
Bhutan Faces an Important Test of Press Freedom;12;5
Facebook Runs Up Against German Hate Speech Laws;11;28
Farhad’s and Daisuke’s Week in Tech: Is Google’s Waymo Way Better?;12;17
‘Get Out of Your Gilded Offices and Fight for Change’;12;17
How a Putin Fan Overseas Pushed Pro-Trump Propaganda to Americans;12;17
Daily Report: Facebook Spends a Month Behind the Woodshed;11;29
Biggest Tech Failures and Successes of 2016;12;14
Who’s Responsible When Extremists Get a Platform?;12;13
When Trump Meets Tech Leaders, Jobs Will Be on the Agenda;12;13
Facebook’s Censorship Tool;11;23
‘Big Social’ and Facebook’s Moral Core;12;8
Daily Report: Facebook Courts China With Censoring Software;11;23
Europe Presses American Tech Companies to Tackle Hate Speech;12;6
Facebook Said to Create Censorship Tool to Get Back Into China;11;22
Cambridge Analytica and the Secret Agenda of a Facebook Quiz;11;19
All the Fake News That Was Fit to Print;12;4
Mark Zuckerberg and Facebook Must Defend the Truth;11;21
Facebook Considering Ways to Combat Fake News, Mark Zuckerberg Says;11;19
Sheryl Sandberg Said to Plan $100 Million in Charitable Giving;12;1
Facebook’s Damage to Democracy;11;16
How Much Disclosure About an Op-Ed Author Is Required?;11;30
Facebook and the Digital Virus Called Fake News;11;19
Is ‘Empathy’ Really What the Nation Needs?;11;29
Daily Report: Facebook Does Some Explaining on Metrics;11;17
Facebook Acts to Restore Trust After Overstating Video Views;11;16
The Strip;11;26
Fake News in U.S. Election? Elsewhere, That’s Nothing New;11;17
Google and Facebook Take Aim at Fake News Sites;11;15
Condemning ‘Fake News,’ but Running Fake-News Ads;11;23
Facebook Will Stop Some Ads From Targeting Users by Race;11;11
Anti-Clinton Fake News Casts Pizzeria as Front for Crime;11;22
Why Did Facebook Say I Was Dead?;11;11
Is Social Media Disconnecting Us From the Big Picture?;11;22
Facebook, in Cross Hairs After Election, Is Said to Question Its Influence;11;12
Fake News Onslaught Targets Pizzeria as Nest of Child-Trafficking;11;22
Farhad’s and Mike’s Week in Tech: Fake News, Trolls and Other Spectacles;11;19
When Tech Is a Problem Child;11;19
Fixation on Fake News Overshadows Waning Trust in Real Reporting;11;19
Daily Report: The Fake News Precedent Outside the United States;11;18
Readers Debate the Merits of Social Media Before and After the Election;11;18
Amid Division, a March in Washington Seeks to Bring Women Together;11;18
Pantsuit Nation, a ‘Secret’ Facebook Hub, Celebrates Clinton;11;8
Silicon Valley Helped Create Trump, and That’s Bad for It;11;18
Obama, With Angela Merkel in Berlin, Assails Spread of Fake News;11;17
Daily Report: The Increasingly Tectonic Force of Social Media;11;16
Why Facebook Showed You That Ad for the Candidate You Hate;11;7
Social Media’s Globe-Shaking Power;11;16
Daily Report: Twitter Addresses Troll Problem. Again.;11;15
Mark Zuckerberg Is in Denial;11;15
Lies in the Guise of News in the Trump Era;11;12
Facebook Defies Social Media Gravity With User and Profit Growth;11;2
Online, Everything Is Alternative Media;11;11
Facebook Could Be Associated With a Longer Life, Study Finds;10;31
Daily Report: The Tech Companies That Won on Election Day;11;9
Why Your Facebook Friends Are Checking In to Standing Rock;10;31
What We’ve Learned About the Media Industry During This Election;11;8
Facebook Can Tell You What to Expect in the Voting Booth;10;28
Farhad’s and Mike’s Week in Tech: Gaming as Prophylaxis to Elections;11;5
Daily Report: A $25 Billion Fiber Merger;11;1
Peter Thiel Defends His Most Contrarian Move Yet: Supporting Trump;10;29
Museums, the New Social Media Darlings;10;28
Trump TV Offers (Fledgling) Framework for Potential Media Future;10;26
Obama Brought Silicon Valley to Washington;10;25
A Sydney Resident Shows Beach Trashed By Revelers;12;28
Good Neighbors, No Politics;10;22
Farhad’s and Mike’s Week in Tech: The Political Evolution of Silicon Valley;10;22
Drop and Give Me 22!;10;22
How to Protect Yourself From Sexual Assault on a Plane;10;21
Wife of American Detained in Yemen Publicly Calls for Release;10;20
Facebook Helped Drive a Voter Registration Surge, Election Officials Say;10;12
5 ways social media can help you travel;10;19
What We’re Reading;10;18
Facebook Live: ‘A Day in the Life at Lincoln Center’;10;6
My Divorce, My Father, My Mistake;10;14
Trump Versus Twitter;10;13
Facebook Marketplace Goes Wrong: Sex, Guns and Baby Hedgehogs;10;4
Police Use Surveillance Tool to Scan Social Media, A.C.L.U. Says;10;12
Tech Companies Expect Free High-Speed Internet for Poorer Americans to Pay Off Later;10;11
Was That a Debate? Or Were the Candidates Just Trying to Go Viral?;10;10
Facebook Ordered to Stop Collecting Data on WhatsApp Users in Germany;9;27
Making Video Ads That Work on Facebook’s Silent Screen;9;25
Facebook Apologizes for Overstating Video Metrics;9;23
U.S. Tech Giants Are Investing Billions to Keep Data in Europe;10;3
The Online Video View: We Can Count It, but Can We Count on It?;10;2
Farhad’s and Mike’s Week in Tech: Interest in Twitter From Disney? Unlikely.;10;1
Protecting Humans and Jobs From Robots Is 5 Tech Giants’ Goal;9;28
A Facebook First for New York Philharmonic: Streaming Its 175th Anniversary Opener;9;19
What It’s Like to Fight Online Hate;9;26
Daily Report: Mobile Video Gets Another Look;9;26
Buy Movie Tickets on Facebook? Fandango Makes It Possible;9;15
Mark Zuckerberg and Priscilla Chan Pledge $3 Billion to Fighting Disease;9;21
Facebook Restores Iconic Vietnam War Photo It Censored for Nudity;9;9
E.U. Rules Look to Unify Digital Market, but U.S. Sees Protectionism;9;13
Airbnb, a Silicon Valley Titan, Breaks Ranks in Admitting Its Power;9;12
What We’re Reading;9;9
Daily Report: Facebook’s Attack on Democracy;8;26
Relaxing Privacy Vow, WhatsApp Will Share Some Data With Facebook;8;25
Get Your Photos Looking Better on Facebook;8;22
F.B.I. Arrests Florida Man Accused of Threatening to Kill Gays;9;5
Liberal, Moderate or Conservative? See How Facebook Labels You;8;23
Goodbye, Ivory Tower. Hello, Silicon Valley Candy Store.;9;3
Inside Facebook’s (Totally Insane, Unintentionally Gigantic, Hyperpartisan) Political-Media Machine;8;24
Facebook Live: Too Much, Too Soon;8;20
SpaceX Rocket Explodes at Launchpad in Cape Canaveral;9;1
How Tech Giants Are Devising Real Ethics for Artificial Intelligence;9;1
A New Way to Reach Obama: Facebook Messaging;8;10
Facebook Blocks the Ad Blockers;8;9
Daily Report: More Clean Energy, Brought to You by the Cloud;8;24
Unlikely Facebook Friendship Saves Afghan Baby With Heart Defect;8;15
Facebook Blocks Ad Blockers, but It Strives to Make Ads More Relevant;8;9
Shocker! Facebook Changes Its Algorithm to Avoid ‘Clickbait’;8;4
Farhad’s and Mike’s Week in Tech: Facebook’s Headline Rules;8;6
Sharing Video Streams on Facebook;8;1
Kashmiri Faces Sedition Charges Over Facebook Activity;8;5
Facebook Helps Develop Software That Puts Students in Charge of Their Lesson Plans;8;9
Daily Report: Facebook Bars Cheesy Headlines That Let Readers Down;8;5
‘A World Mr. Thiel Helped Create’: Readers on Peter Thiel and Gawker;8;18
A Charming Alternative Universe of You, Your Friends and No News;8;17
Google Duo Makes Video Calling Between Operating Systems Easier;8;16
Fatah Makes Incendiary Facebook Claim of Killing 11,000 Israelis;8;5
Facebook Casts a Giant Shadow Over Twitter;7;28
The Faces of Facebook;7;22
Farhad’s and Mike’s Week in Tech: Betting on Jet and Diverse Work Forces;8;13
Facebook Profit Nearly Triples on Mobile Ad Sales and New Users;7;27
The Tyranny of Other People’s Vacation Photos;8;12
Facebook Banned Gun Sales. So Why Is It Still ‘Full of Them’?;7;21
Facebook Moves One Step Closer to Light-Based Wireless Communication;7;21
How Sponsored Content Is Becoming King in a Facebook World;7;25
Jessica Baker, Michael de la Merced;8;7
When Every Company Is a Tech Company, Does the Label Matter?;8;6
Daily Report: The Message From Snapchat;8;4
Another Night, Another Shooting on Facebook Live;7;13
Instagram Posts May Have Escalated Fatal Standoff, Police Say;8;3
Oberlin Professor Accused of Anti-Semitic Remarks Is Placed on Paid Leave;8;3
Sorry for Having Insulted China? Here’s Your Chance to Apologize;7;19
Instagram Takes a Page From Snapchat, and Takes Aim at It, Too;8;2
Facebook to Add ‘Secret Conversations’ to Messenger App;7;8
Live Footage of Shootings Forces Facebook to Confront New Role;7;9
Daily Report: Keep It Secret on Facebook Messenger;7;8
Twitter Brings Aboard Facebook Veteran Bret Taylor;7;5
Farhad’s and Mike’s Week in Tech: The Cautionary Tale of the Fall of Yahoo;7;30
Critics of Police Welcome Facebook Live and Other Tools to Stream Video;7;7
Her Husband’s Death Motivates Sheryl Sandberg to Write Another Book;7;29
Morning Agenda: Profits Tumble at European Banks;7;29
Limiting Your Facebook Audience;6;27
At Cannes, the Ad Industry Confronts the Rise of Facebook;6;27
Feeling Stung by a Fickle Friend Named Facebook;6;30
Kid Models (and Their Moms) Trade Summer Fun for City Auditions;7;27
Facebook to Change News Feed to Focus on Friends and Family;6;29
What Goes Up Must Come Down: The End of Yahoo as We Know It;7;26
Still Want to Get the News on Facebook? Read All About It;6;30
Tech Behemoths Report Their Results;7;25
Streaming the Munich Shooting Live;7;23
Facebook Shareholder Vote Produces Odd Results;6;22
Suppressing Facebook’s ‘Memories’;5;30
Facebook Envy Lures Egyptian Teenagers to Europe and the Migrant Life;6;23
Ashley August on Race and Violence;7;20
Facebook, a News Giant That Would Rather Show Us Baby Pictures;6;29
Killing Twice for ISIS and Saying So Live on Facebook;6;14
Can Silicon Valley Really Do Anything to Stop Police Violence?;7;19
Omar Mateen Posted to Facebook Amid Orlando Attack, Lawmaker Says;6;16
Man Inadvertently Broadcasts His Own Killing on Facebook Live;6;17
Reasons to Believe the A.I. Boom Is Real;7;18
‘Brexit’ Talk on Social Media Favored the ‘Leave’ Side;6;24
Facebook Controversy Is Still Trending;5;24
Facebook’s Subtle Empire;5;21
Political Bias at Facebook?;5;10
The Real Bias Built In at Facebook;5;19
Facebook’s Bias Is Built-In, and Bears Watching;5;11
What Is a Constant Cycle of Violent News Doing to Us?;7;15
Hillary Supporters Can Now ‘Be Public’ on Facebook;6;14
Facebook’s Troubling One-Way Mirror;5;22
Facebook Offers Tools for Those Who Fear a Friend May Be Suicidal;6;14
Why LinkedIn Will Make You Hate Microsoft Word;6;17
The Times on the Air: Facebook, Falling in Love, and More;5;27
For Facebook and Conservatives, a Collegial Meeting in Silicon Valley;5;19
Conservatives Accuse Facebook of Political Bias;5;10
Facebook’s Conservative Charm Offensive;5;18
Google’s Antitrust Charges in Europe Need Quick Action;7;14
Brooklyn Judge Will Not Force Facebook’s Silence on Subpoenas;5;13
The Times on the Air: Facebook, Falling in Love, and More;5;27
Does This Flag Make You Flinch?;7;14
Janet Yellen to Testify Before Congress and Britain to Vote on ‘Brexit’;6;20
How Facebook Warps Our Worlds;5;21
Live Streaming Breaks Through, and Cable News Has Much to Fear;7;13
Facebook ‘Trending’ List Skewed by Individual Judgment, Not Institutional Bias;5;20
Facebook Moves to Repair Its Fractured Relationship With the Right;5;17
As Refugee Family Resettles in Sweden, 9-Year-Old Nephew Dies;7;13
Facebook Groups Act as Weapons Bazaars for Militias;4;6
Before a Larceny Arrest, a ‘Cry for Help’ on Facebook;5;15
A Podcast on Climate Science, Communication, Pokémon, the Presidency…;7;15
Facebook Building a Network for Virtual Reality;1;27
In the Fight for Transgender Equality, Winning Hearts and Minds Online;6;7
Facebook Says an Investigation Found No Evidence of Bias in a News App;5;24
How to Be Mindful With Facebook;9;28
Facebook Faces German Antitrust Investigation;3;2
Facebook, Facing Bias Claims, Shows How Editors and Algorithms Guide News;5;12
Facebook to Bring Chatbots Back;4;12
Gun Dealers Hiding on Facebook;4;9
Facebook Has Put a Spell on You;5;6
Posting Animated GIFs on Facebook;1;20
Gun Dealers Hiding on Facebook;4;9
Everybody Loves a Hero, Especially Facebook Fraudsters;6;4
Facebook Open Sources Wireless Gear;2;22
Facebook’s Developer Conference Kicks Off;4;12
NYT Politics on Facebook Messenger;1;29
Lauren Westbrook, Brian McIntosh;7;10
Facebook Has 50 Minutes of Your Time Each Day. It Wants More.;5;5
Travel the World on Facebook Live;9;5
Farhad and Mike’s Week in Tech: Facebook’s Take on the News;5;14
The Facebook Breakup;3;12
Facebook Aims to Drive Down Tech Prices to Expand Its Reach;4;25
How You’re Making Facebook a Money Machine;4;29
Is Facebook Saving Journalism or Ruining It?;5;17
Obama Goes Live on Facebook;1;13
Farhad’s and Mike’s Week in Tech: Snapchat Old Hat? Oh, and Theranos;7;9
Facebook Live, Annoying and Intrusive, Seems to Be Paying Off;4;1
Police Say Man Posted Photo of Girlfriend’s Body on Facebook, It Lingered for 36 Hours;6;1
On Facebook: People You May Love;5;20
Nielsen to Use Facebook and Twitter in New Ratings System;1;20
Live, on Your Mobile Device, It’s Facebook;3;31
Obama’s Delicate Balance on Issue of Race and Policing;7;9
Women From Venus, Men Still From Mars on Facebook, Study Finds;5;25
Facebook’s Sensible Ban on Gun Ads;1;31
On Facebook: People You May Love;5;20
Square Teams Up With Facebook to Offer Ads That Can Be Gauged;3;23
Brazilian Judge Releases Facebook Executive;3;2
Marc Andreessen Apologizes After Facebook Disavows India Comments;2;10
After Poised Live-Streaming, Tears and Fury Find Diamond Reynolds;7;8
A Killing. A Pointed Gun. And Two Black Lives, Witnessing.;7;7
Facebook to Shut Down Parse, Its Platform for Mobile Developers;1;28
My Stepmother Calls Herself Mom but Doesn’t Act Like One. What to Do?;7;7
Facebook Plans New Stock Class to Solidify Mark Zuckerberg’s Control;4;27
All Eyes on Facebook to Lift Tech’s Dismal Spirits;4;27
Facebook Reports Soaring Revenue, Buoyed by Mobile Ads;1;27
After Philando Castile’s Killing, Obama Calls Police Shootings ‘an American Issue’;7;7
How Did You Manage a Breakup on Facebook?;3;1
Senator Demands Answers From Facebook on Claims of ‘Trending’ List Bias;5;10
Daily Report: Facebook’s Lucrative Long View;1;28
Send Us the Political Ads You See on Facebook;4;14
Send Us the Political Ads You See on Facebook;4;14
One Photo in Many Places;7;5
What We’re Reading;7;5
Facebook Video Gives Account of Oregon Arrests;1;27
Facebook Loses a Battle in India Over Its Free Basics Program;2;8
Daily Report: A Net Neutrality Setback for Facebook in India;2;9
Sean Parker, a Facebook and Napster Pioneer, to Start Cancer Immunotherapy Effort;4;13
Facebook Post Revives Debate on Whether Monotheists Worship Same God;2;19
Seeking Access to Facebook in China, Zuckerberg Courts Risks;3;20
Brazil Arrests Facebook Executive in WhatsApp Data Access Case;3;1
Brazil Arrests Facebook Executive in WhatsApp Data Access Case;3;1
Facebook Moves to Ban Private Gun Sales on Its Site and Instagram;1;29
Your Thursday Briefing: Syria, Martin Shkreli, Facebook;2;4
How Did You Manage Your Breakup on Facebook?;3;12
A Powerful Collective Rooting for You: On Vin Diesel’s Facebook;3;11
Facebook, in Accounting Change, Could Pay Millions More in British Taxes;3;4
Donald Trump, New Zealand, Facebook: Your Monday Briefing;11;13
Farhad and Mike’s Week in Tech: Rethinking Twitter, and a Hurdle for Facebook;2;13
Pittsburgh TV Anchor Is Fired After Racial Facebook Post;3;31
Donald Trump, Global Warming, Facebook: Your Wednesday Briefing;11;23
Donald Trump, Global Warming, Facebook: Your Wednesday Briefing;11;23
Farhad’s and Mike’s Week in Tech: Death, Denial and Self-Driving Cars;7;2
Why Do Older People Love Facebook? Let’s Ask My Dad;4;14
Daily Report: One Grand Experiment Ends for a Facebook Co-Founder;1;12
Italy Earthquake, Syria War, Facebook: Your Wednesday Briefing;8;24
Your Thursday Briefing: Donald Trump, Ted Cruz, Facebook;4;28
Facebook Bets on Bots for Its Messenger App;4;12
Your Friday Briefing: Bernie Sanders, Facebook Messenger, ‘The Jungle Book’;4;15
Sarah Palin’s Facebook Fans Say Backing Donald Trump Is Disingenuous;1;21
Thai Activist’s Mother Faces Prison Term for One-Word Facebook Reply;5;7
A Facebook Algorithm Renews a College Crush;5;20
Dustin Moskovitz, Facebook Co-Founder, Pledges $20 Million to Aid Democrats;9;10
The Week in Tech: Facebook Live, a More Civil Reddit and Yahoo’s Odd Deal-Making;4;9
Review: ‘Chaos Monkeys’ Is a Guide to the Spirit of Silicon Valley;6;28
Morning Agenda: Aid for Investment Funds, Billions in Profit for Madoff Investors, Facebook’s Censorship Tool;11;23
Opposing Factions Take to Facebook in Oregon Wildlife Refuge Dispute;1;22
Vox Media Tries Something Old on Something New;4;24
German Anti-Immigrant Leader Fined Over Facebook Post;5;3
C-Span Delivers on Sit-In, Even With Cameras Off;6;23
Harsh Facebook Posts, Jail and Now Death: A Man’s Fate Angers Algeria;12;14
Mark Zuckerberg Covers His Laptop Camera. You Should Consider It, Too.;6;22
Morning Agenda: An Early Winner in the ‘Brexit Vote’;6;23
Afghan Officials, Voicing Security Fears on Facebook, Are Fired for Their Trouble;1;23
Mark Zuckerberg Backs Apple in Its Refusal to Unlock iPhone;2;22
