Headline;Month;Day
DealBook Briefing: Chevron Thinks Men Can Fix the Diversity Problem;2;26
Occidental Bids $38 Billion for Anadarko, Challenging Chevron;4;24
Anadarko Says It Now Favors Occidental Bid Over Chevron;5;6
A Condo That Nods to Art Deco Design;6;21
Occidental Ups Its Cash Offer for Anadarko;5;5
Warren Buffett Backs Occidental’s Bid for Anadarko With $10 Billion Investment;4;30
Blamed for Climate Change, Oil Companies Invest in Carbon Removal;4;7
A Rocks Glass With Heft;1;7
Christina Antoniou, Vrej Tajirian;7;21
Six Must-Haves Needed to Seduce Buyers;10;18
DealBook Briefing: Trump Wasn’t Joking About New Tariffs on China;5;7
Julia Kearney, Krishna Amuluru;8;18
DealBook Briefing: Uber’s Growth Is Slowing;4;12
Louisiana’s Coast Is Vanishing. Can a Mining Company’s $100 Million Offer Help Save It?;9;26
The ‘Monster’ Texas Oil Field That Made the U.S. a Star in the World Market;2;3
Oil Companies Ponder Climate Change, but Profits Still Rule;10;7
DealBook Briefing: Is a $5 Billion Facebook Fine Enough?;4;25
What the Shutdown Would Look Like if It Happened in Other Industries;1;5
F.D.A. Criticizes Walgreens and Other Retailers for Selling Tobacco Products to Minors;3;4
DealBook Briefing: Trump Plays Chicken With China on Trade;5;6
New U.S. Sanctions on Venezuela Aim to Choke Off Government’s Finances;4;17
U.S. Oil Companies Find Energy Independence Isn’t So Profitable;6;30
Citgo Gets a U.S. Lifeline in Holding Off Creditors;10;24
A Key to the Arctic’s Oil Riches Lies Hidden in Ohio;4;2
Their Tax Rate Is 0%;4;15
Saudi Arabia Insisted Aramco Was Worth $2 Trillion. Now It Is.;12;16
‘I Have Sued Exxon Mobil,’ Kamala Harris Said. Not Quite.;9;5
Hotel Review: Paramount House Hotel, Sydney;2;16
Man Fatally Stabs 4 in California Crime Spree, Police Say;8;8
How A.I. Is Heralding a New Era of Smartphone Photography;1;21
Margherita Maccapani Missoni Takes on a New Challenge, by Looking Back;9;25
In South Africa, a Designer Making Personal Clothes With Political Messages;8;7
