Date,Adj Close,Close,High,Low,Open,Volume
2018-01-02,172.00363159179688,188.02999877929688,190.72000122070312,188.00999450683594,190.2100067138672,4684700
2018-01-03,172.90011596679688,189.00999450683594,189.36000061035156,187.82000732421875,188.0,4530500
2018-01-04,174.2722625732422,190.50999450683594,190.8699951171875,188.47000122070312,189.8699951171875,4047400
2018-01-05,176.09263610839844,192.5,192.5399932861328,190.50999450683594,190.92999267578125,4224800
2018-01-08,175.67185974121094,192.0399932861328,193.72000122070312,191.60000610351562,191.72000122070312,3508500
2018-01-09,176.64149475097656,193.10000610351562,193.47000122070312,191.63999938964844,192.6999969482422,3012300
2018-01-10,175.4523162841797,191.8000030517578,193.22000122070312,191.64999389648438,192.75999450683594,3119500
2018-01-11,178.08682250976562,194.67999267578125,194.72999572753906,191.39999389648438,191.67999267578125,3899200
2018-01-12,179.67849731445312,196.4199981689453,199.4199981689453,194.82000732421875,195.5,6748400
2018-01-16,179.5779266357422,196.30999755859375,198.9499969482422,195.6999969482422,197.86000061035156,5692700
2018-01-17,182.78872680664062,199.82000732421875,199.82000732421875,196.83999633789062,197.5,3996100
2018-01-18,181.42572021484375,198.3300018310547,200.24000549316406,197.66000366210938,199.77999877929688,4474600
2018-01-19,184.1700439453125,201.3300018310547,201.3300018310547,199.1300048828125,199.80999755859375,5809600
2018-01-22,187.0332794189453,204.4600067138672,204.47000122070312,201.50999450683594,201.60000610351562,4857700
2018-01-23,187.4357452392578,204.89999389648438,206.35000610351562,204.14999389648438,204.88999938964844,3621700
2018-01-24,188.6432647705078,206.22000122070312,207.10000610351562,204.5500030517578,205.1999969482422,4370700
2018-01-25,187.86569213867188,205.3699951171875,206.8300018310547,203.83999633789062,206.8000030517578,3537700
2018-01-26,189.567138671875,207.22999572753906,207.30999755859375,204.44000244140625,205.60000610351562,3778100
2018-01-29,187.4540252685547,204.9199981689453,207.61000061035156,204.7100067138672,207.22999572753906,3632900
2018-01-30,184.60911560058594,201.80999755859375,203.14999389648438,191.57000732421875,201.47000122070312,5979600
2018-01-31,183.7766571044922,200.89999389648438,205.0800018310547,200.22999572753906,203.22000122070312,4547300
2018-02-01,182.86190795898438,199.89999389648438,202.25,198.27999877929688,199.33999633789062,3553800
2018-02-02,177.4373321533203,193.97000122070312,199.3000030517578,193.44000244140625,199.25,6179000
2018-02-05,167.50296020507812,183.11000061035156,194.3000030517578,180.3800048828125,190.07000732421875,10618500
2018-02-06,174.75709533691406,191.0399932861328,191.9600067138672,175.4199981689453,178.6199951171875,11682700
2018-02-07,174.98577880859375,191.2899932861328,194.52000427246094,189.72000122070312,190.72999572753906,6016800
2018-02-08,165.77406311035156,181.22000122070312,191.13999938964844,180.92999267578125,191.13999938964844,7241800
2018-02-09,168.42689514160156,184.1199951171875,186.0,175.7899932861328,183.25,9059200
2018-02-12,168.37200927734375,184.05999755859375,187.00999450683594,183.41000366210938,186.5500030517578,6783700
2018-02-13,168.0609893798828,183.72000122070312,183.99000549316406,180.88999938964844,183.22999572753906,4273800
2018-02-14,168.94830322265625,184.69000244140625,185.05999755859375,181.0500030517578,181.8800048828125,6767000
2018-02-15,169.47889709472656,185.27000427246094,187.19000244140625,183.25999450683594,186.74000549316406,5113300
2018-02-16,171.0339813232422,186.97000122070312,187.99000549316406,184.86000061035156,185.05999755859375,7619200
2018-02-20,170.796142578125,186.7100067138672,191.44000244140625,186.30999755859375,189.89999389648438,8922100
2018-02-21,167.45724487304688,183.05999755859375,187.97999572753906,182.86000061035156,187.2100067138672,7527200
2018-02-22,169.66183471679688,185.47000122070312,186.22000122070312,182.91000366210938,183.72000122070312,5653900
2018-02-23,172.29638671875,188.35000610351562,188.41000366210938,185.6199951171875,186.1999969482422,4315400
2018-02-26,172.39698791503906,188.4600067138672,189.7899932861328,187.86000061035156,189.1699981689453,4648000
2018-02-27,169.21360778808594,184.97999572753906,189.25,184.9600067138672,188.8699951171875,4618800
2018-02-28,166.73455810546875,182.27000427246094,186.64999389648438,182.27000427246094,184.41000366210938,6419900
2018-03-01,164.32875061035156,179.63999938964844,184.39999389648438,178.25,182.75,6123900
2018-03-02,163.24929809570312,178.4600067138672,179.19000244140625,176.33999633789062,177.72000122070312,5671000
2018-03-05,166.24974060058594,181.74000549316406,182.25999450683594,177.6999969482422,177.86000061035156,5748600
2018-03-06,166.15830993652344,181.63999938964844,183.0,179.50999450683594,182.75,5306800
2018-03-07,164.29067993164062,178.5800018310547,180.0,176.82000732421875,178.82000732421875,4799200
2018-03-08,163.70191955566406,177.94000244140625,179.97999572753906,176.72999572753906,179.44000244140625,4750700
2018-03-09,167.5842742919922,182.16000366210938,182.24000549316406,177.9199981689453,179.0,4477200
2018-03-12,165.33030700683594,179.7100067138672,183.05999755859375,179.5500030517578,182.42999267578125,4993300
